user_id,age,monthly_income,browse_time_minutes,spending_frequency,gender,occupation,city,education,family_size,login_count_30d,member_level,browsed_categories,has_coupon,is_new_user,joined_promotion,has_notification_enabled,target_purchase
USER_000020,48.1,6209.27,3.23,4.19,Female,Other,New York,Bachelor Degree,2,3,2,6,1,False,False,True,0
USER_000021,46.7,5925.79,4.04,1.41,Female,Corporate Employee,New York,Bachelor Degree,4,9,3,4,0,False,True,True,0
USER_000022,22.4,4503.96,0.59,5.76,Male,Student,San Diego,Bachelor Degree,3,8,3,3,0,True,True,False,0
USER_000023,47.9,5575.04,2.51,5.07,Male,Salesperson,Other City,Associate Degree,1,4,1,4,0,True,True,False,0
USER_000024,31.8,2399.15,10.9,0.49,Female,Salesperson,Other City,Bachelor Degree,1,3,4,2,0,False,False,False,0
USER_000025,41.0,6936.13,19.52,8.3,Male,Engineer,Philadelphia,Associate Degree,4,10,1,5,1,False,False,False,1
USER_000026,25.9,2163.57,6.55,0.32,Male,Salesperson,Houston,Associate Degree,8,6,3,7,1,True,False,False,0
USER_000027,36.4,5255.67,3.94,4.21,Male,Freelancer,Philadelphia,Associate Degree,4,5,3,2,0,False,True,False,0
USER_000028,38.1,3336.1,13.36,2.5,Female,Freelancer,Other City,Bachelor Degree,1,4,5,4,0,False,True,False,0
USER_000029,20.2,2231.63,10.27,2.74,Female,Student,New York,Bachelor Degree,5,2,1,8,0,True,False,False,0
USER_000030,41.1,4947.67,9.37,5.19,Female,Corporate Employee,Los Angeles,Bachelor Degree,3,4,3,3,0,False,True,False,0
USER_000031,48.5,7593.95,10.68,3.72,Female,Salesperson,San Diego,High School or Below,4,1,2,7,0,False,False,False,0
USER_000032,,,3.02,0.5,Male,Civil Servant,Los Angeles,High School or Below,7,4,4,7,0,False,False,False,0
USER_000033,48.6,8072.4,11.73,3.96,Female,Doctor,Other City,Bachelor Degree,1,14,3,4,1,False,True,True,1
USER_000034,33.1,7089.98,10.76,5.95,Male,Teacher,Chicago,Master or Higher,1,7,4,5,1,False,False,True,1
USER_000035,43.5,9034.06,14.74,7.14,Female,Corporate Employee,Los Angeles,Master or Higher,1,5,3,3,1,False,False,True,1
USER_000036,18.0,3777.79,4.48,4.7,Female,Student,Other City,Associate Degree,1,2,4,6,0,True,True,True,0
USER_000037,59.2,8213.91,0.36,2.58,Female,Manager,Houston,Bachelor Degree,7,6,5,10,1,True,False,False,0
USER_000038,50.0,7064.31,0.73,2.29,Female,Other,Phoenix,High School or Below,1,5,1,10,1,False,True,False,0
USER_000039,32.2,3210.88,1.07,7.0,Female,Teacher,New York,High School or Below,1,8,4,9,0,True,False,False,0
USER_000040,18.0,3359.69,5.55,4.8,Female,Student,Los Angeles,Associate Degree,4,3,1,7,0,False,True,True,0
USER_000041,37.9,5838.66,0.58,2.61,Male,Doctor,New York,Associate Degree,6,5,3,9,1,False,False,False,0
USER_000042,20.6,2303.5,3.89,3.07,Male,Student,Houston,Associate Degree,6,4,2,4,0,False,False,False,0
USER_000043,39.4,6560.24,17.19,2.9,Male,Corporate Employee,Phoenix,Master or Higher,3,11,5,6,1,False,False,True,1
USER_000044,39.1,4306.81,14.74,2.32,Male,Engineer,Los Angeles,Associate Degree,1,5,1,6,0,True,False,True,0
USER_000045,25.6,4532.62,2.8,1.84,Male,Corporate Employee,Other City,High School or Below,1,6,1,9,1,True,False,False,0
USER_000046,46.2,5750.72,3.81,2.24,Male,Civil Servant,Los Angeles,Bachelor Degree,6,9,2,5,0,False,True,False,0
USER_000047,43.1,5189.15,8.9,5.23,Male,Manager,New York,Bachelor Degree,1,7,3,3,0,False,True,True,0
USER_000048,44.8,4398.33,13.72,0.45,Female,Salesperson,Los Angeles,Bachelor Degree,8,6,2,3,0,False,False,False,0
USER_000049,35.1,4642.61,2.47,2.62,Male,Engineer,Houston,Bachelor Degree,1,7,2,5,1,False,False,False,0
USER_000050,20.8,4712.41,10.18,3.11,Male,Other,Other City,Bachelor Degree,2,10,3,4,1,False,True,True,1
USER_000051,44.8,7923.34,11.0,5.51,Male,Corporate Employee,Phoenix,Master or Higher,2,11,2,10,1,False,False,False,1
USER_000052,32.3,5287.03,9.46,7.7,Male,Freelancer,Phoenix,Bachelor Degree,2,5,5,9,1,False,False,False,1
USER_000053,21.1,5487.91,17.82,6.43,Female,Engineer,New York,Associate Degree,2,5,3,5,0,True,True,True,1
USER_000054,48.5,5611.05,1.92,3.45,Female,Corporate Employee,Other City,Master or Higher,1,5,3,6,0,False,False,True,0
USER_000055,56.0,7550.7,10.98,7.02,Female,Corporate Employee,Los Angeles,Associate Degree,6,10,5,10,1,False,False,True,1
USER_000056,34.6,3332.72,1.93,4.8,Male,Corporate Employee,San Antonio,Bachelor Degree,5,3,2,1,0,False,False,True,0
USER_000057,56.6,5682.98,0.63,2.14,Female,Corporate Employee,Los Angeles,High School or Below,3,5,1,5,0,False,True,True,0
USER_000058,35.9,4583.6,4.67,0.1,Male,Corporate Employee,Other City,Associate Degree,2,4,2,4,1,False,True,True,0
USER_000059,31.2,4441.0,4.43,5.33,Male,Engineer,New York,Bachelor Degree,4,3,2,7,0,False,False,False,0
USER_000060,28.7,4339.82,1.75,0.65,Unknown,Corporate Employee,Phoenix,Associate Degree,3,8,3,5,0,True,False,False,0
USER_000061,51.4,6647.55,0.16,0.67,Female,Teacher,Other City,Associate Degree,7,2,1,8,0,False,False,False,0
USER_000062,27.2,5161.48,21.8,4.47,Female,Engineer,Houston,Associate Degree,7,9,2,10,1,True,True,True,1
USER_000063,42.4,6498.4,2.2,1.83,Female,Engineer,Other City,Bachelor Degree,3,8,1,8,0,False,True,False,0
USER_000064,29.4,3697.77,3.87,0.65,Female,Corporate Employee,San Diego,Bachelor Degree,1,3,1,2,0,False,False,True,0
USER_000065,30.4,4690.15,0.78,2.83,Female,Corporate Employee,Other City,Associate Degree,1,6,2,10,0,False,True,True,0
USER_000066,,,1.45,2.41,Male,Teacher,Other City,Associate Degree,8,6,2,6,0,False,False,True,0
USER_000067,31.2,6695.62,10.86,5.97,Male,Engineer,New York,Bachelor Degree,5,7,3,5,1,True,True,True,1
USER_000068,31.0,4085.67,4.13,3.03,Male,Engineer,Other City,Master or Higher,5,5,5,6,0,True,False,True,0
USER_000069,46.3,8223.63,17.62,5.64,Male,Civil Servant,Houston,Bachelor Degree,1,12,2,5,1,False,True,False,1
USER_000070,51.0,8292.61,9.72,4.7,Male,Teacher,San Diego,Bachelor Degree,2,7,4,8,1,False,False,False,1
USER_000071,41.4,6153.84,10.27,3.66,Female,Manager,Other City,High School or Below,4,4,1,9,0,False,False,False,0
USER_000072,28.5,3231.31,3.07,2.17,Female,Corporate Employee,San Antonio,High School or Below,6,6,1,10,0,True,False,True,0
USER_000073,29.9,4420.11,10.83,4.74,Male,Freelancer,Other City,Bachelor Degree,5,5,3,7,1,True,False,True,1
USER_000074,35.8,5806.64,10.52,3.3,,Manager,Los Angeles,Bachelor Degree,2,7,2,10,0,False,True,False,1
USER_000075,38.2,8088.92,18.87,3.25,Male,Civil Servant,Los Angeles,High School or Below,4,10,3,2,1,False,False,False,1
USER_000076,25.1,5555.44,9.45,5.1,Female,Corporate Employee,Los Angeles,Associate Degree,5,6,4,4,1,False,True,False,1
USER_000077,42.2,5512.06,9.74,6.66,Male,Civil Servant,Other City,High School or Below,1,7,3,10,0,True,False,False,0
USER_000078,35.9,3736.36,0.47,3.86,Male,Engineer,Los Angeles,Bachelor Degree,5,3,2,2,0,False,False,True,0
USER_000079,18.0,3065.55,15.54,2.02,Male,Student,Other City,Associate Degree,5,6,1,8,0,False,False,False,0
USER_000080,25.7,4747.19,11.5,2.06,Female,Freelancer,Chicago,Bachelor Degree,6,6,5,8,1,False,True,False,1
USER_000081,30.0,3324.22,34.09,4.42,Male,Engineer,Los Angeles,Bachelor Degree,2,4,2,4,0,True,False,False,0
USER_000082,34.3,4227.52,4.68,5.3,Female,Corporate Employee,New York,Bachelor Degree,1,3,1,10,0,False,True,True,0
USER_000083,53.9,7035.1,0.63,4.02,Female,Manager,Other City,Bachelor Degree,2,9,2,1,0,False,False,True,0
USER_000084,37.4,5491.85,0.31,3.91,Male,Freelancer,Los Angeles,Associate Degree,2,8,1,4,0,False,False,False,0
USER_000085,26.6,4439.04,1.07,0.18,Male,Engineer,Los Angeles,Bachelor Degree,4,6,1,6,0,False,False,True,0
USER_000086,37.2,5331.92,10.73,5.25,Unknown,Corporate Employee,Houston,Bachelor Degree,4,9,3,7,1,False,True,True,1
USER_000087,31.5,4343.34,6.88,1.82,Male,Corporate Employee,Other City,Associate Degree,1,1,1,1,0,True,False,True,0
USER_000088,38.2,6823.22,8.0,6.22,Male,Corporate Employee,Other City,High School or Below,6,3,1,2,0,False,False,True,1
USER_000089,40.8,3747.82,1.49,0.85,,Other,New York,Master or Higher,8,5,5,6,0,True,True,False,0
USER_000090,47.1,5925.98,4.43,2.86,Male,Teacher,Los Angeles,Master or Higher,6,2,2,8,1,False,True,True,0
USER_000091,34.8,6429.57,9.77,6.5,Female,Freelancer,Phoenix,Bachelor Degree,4,5,5,10,1,False,False,True,1
USER_000092,51.4,8851.53,10.21,3.56,Female,Corporate Employee,San Diego,Associate Degree,3,17,3,9,1,False,False,True,1
USER_000093,44.1,5691.25,1.79,2.25,Male,Doctor,San Diego,Bachelor Degree,8,4,2,10,0,False,False,False,0
USER_000094,27.9,5440.68,23.31,6.74,Male,Salesperson,Chicago,Master or Higher,6,7,3,6,1,False,False,False,1
USER_000095,57.1,7835.76,0.34,6.53,Male,Corporate Employee,New York,Associate Degree,2,3,1,3,0,True,True,True,0
USER_000096,38.3,2808.77,11.9,4.44,Unknown,Other,Other City,Bachelor Degree,8,3,4,10,1,False,False,False,0
USER_000097,26.6,3795.73,1.95,3.15,Male,Freelancer,Philadelphia,Bachelor Degree,1,3,1,3,1,False,False,False,0
USER_000098,51.5,4586.75,1.42,1.76,Female,Civil Servant,Philadelphia,Bachelor Degree,4,4,1,4,0,True,True,True,0
USER_000099,55.8,5867.81,10.74,2.54,Female,Doctor,Other City,Bachelor Degree,6,4,1,3,1,False,False,True,0
USER_000100,34.7,5194.81,1.69,4.32,Male,Corporate Employee,Chicago,Bachelor Degree,6,5,2,10,0,False,False,True,0
USER_000101,30.0,2925.8,21.9,1.97,Female,Engineer,San Antonio,Bachelor Degree,5,5,1,6,0,False,False,False,0
USER_000102,33.3,3106.28,3.97,2.09,Female,Student,Los Angeles,Associate Degree,2,7,2,2,0,False,False,True,0
USER_000103,42.1,7791.94,3.23,0.43,Male,Teacher,Philadelphia,Bachelor Degree,4,7,2,4,0,False,False,False,0
USER_000104,47.8,6620.71,26.75,9.04,Male,Doctor,New York,Associate Degree,7,4,3,9,1,True,False,True,1
USER_000105,40.7,6920.52,1.29,4.94,Female,Salesperson,San Antonio,High School or Below,5,6,3,2,0,False,False,False,0
USER_000106,36.0,4627.8,11.98,2.2,Male,Corporate Employee,Other City,Master or Higher,4,5,1,4,0,False,True,True,0
USER_000107,50.0,7675.17,12.48,7.71,Male,Teacher,Houston,Associate Degree,3,6,1,4,1,False,False,False,1
USER_000108,31.9,4956.79,7.03,3.78,Male,Engineer,Phoenix,High School or Below,2,8,1,3,0,False,False,True,0
USER_000109,45.3,7066.59,4.36,1.16,Female,Engineer,New York,Bachelor Degree,5,1,4,1,0,True,False,False,0
USER_000110,32.1,3263.93,4.82,1.92,Female,Salesperson,Other City,Master or Higher,4,2,1,3,0,False,False,True,0
USER_000111,39.3,4619.75,0.84,0.98,Male,Teacher,New York,Bachelor Degree,2,6,2,6,0,False,False,False,0
USER_000112,33.9,7436.87,8.82,5.68,Female,Student,Chicago,Master or Higher,8,8,4,8,1,False,False,True,1
USER_000113,34.4,6927.99,10.53,9.31,Male,Corporate Employee,Chicago,Bachelor Degree,8,4,5,10,1,False,False,True,1
USER_000114,31.2,5421.92,2.13,2.99,Female,Corporate Employee,New York,Bachelor Degree,7,4,2,7,0,False,False,True,0
USER_000115,48.4,8555.11,14.23,3.75,Female,Doctor,Other City,Bachelor Degree,5,6,1,7,1,False,False,False,1
USER_000116,27.7,7778.22,14.41,4.67,Male,Corporate Employee,Phoenix,Master or Higher,8,8,5,7,1,False,True,False,1
USER_000117,27.6,4138.59,4.15,6.4,Female,Corporate Employee,Houston,Bachelor Degree,1,5,3,3,0,False,True,False,0
USER_000118,56.2,9041.81,10.57,6.5,Female,Engineer,New York,Bachelor Degree,8,7,5,5,1,False,True,True,1
USER_000119,44.8,6001.72,5.65,3.33,Male,Teacher,Houston,Associate Degree,8,5,2,10,1,False,False,True,0
USER_000120,18.0,4857.51,13.81,1.86,Female,Student,Houston,Bachelor Degree,5,11,3,6,1,False,False,True,1
USER_000121,29.3,6978.09,16.28,5.47,Female,Engineer,Chicago,Master or Higher,3,7,5,7,1,False,False,True,1
USER_000122,18.0,3237.04,8.35,1.54,Female,Freelancer,Chicago,Associate Degree,5,7,1,7,1,False,False,True,0
USER_000123,25.5,4538.18,0.36,5.79,Male,Manager,Los Angeles,Bachelor Degree,2,4,1,10,0,True,True,True,0
USER_000124,18.0,3944.5,2.34,1.05,Male,Civil Servant,Other City,Bachelor Degree,4,4,1,7,0,True,True,False,0
USER_000125,33.6,4988.45,2.72,1.33,Male,Salesperson,Phoenix,Bachelor Degree,6,5,1,1,0,False,False,True,0
USER_000126,23.6,6061.72,17.38,6.15,Male,Corporate Employee,Chicago,Bachelor Degree,6,7,2,4,1,True,False,False,1
USER_000127,35.6,,11.48,5.16,Female,Civil Servant,Other City,Associate Degree,4,6,1,7,1,False,False,False,1
USER_000128,18.7,2519.65,3.36,1.38,Female,Student,Philadelphia,Associate Degree,1,4,4,8,0,False,False,False,0
USER_000129,35.8,5623.38,4.03,0.79,Female,Salesperson,Los Angeles,Bachelor Degree,2,7,1,1,0,True,False,True,0
USER_000130,30.9,5713.63,0.68,6.66,Male,Doctor,San Diego,Bachelor Degree,4,2,1,3,0,False,True,False,0
USER_000131,50.0,4259.57,4.17,2.83,Male,Doctor,Philadelphia,Associate Degree,1,8,3,10,0,False,False,False,0
USER_000132,49.1,5542.14,4.01,3.21,Female,Civil Servant,New York,Master or Higher,2,4,3,1,0,False,False,False,0
USER_000133,42.9,5513.62,7.02,3.22,Female,Civil Servant,San Antonio,Associate Degree,5,6,1,4,0,False,False,True,0
USER_000134,31.7,5490.73,13.03,1.31,Male,Corporate Employee,Phoenix,Associate Degree,6,8,4,4,1,False,False,True,1
USER_000135,54.9,5867.48,15.51,4.7,Male,Corporate Employee,Phoenix,Associate Degree,8,2,1,3,0,False,True,True,0
USER_000136,19.5,,0.42,1.74,Male,Student,Chicago,Bachelor Degree,3,5,3,2,0,False,False,False,0
USER_000137,21.0,6881.38,15.38,3.73,Female,Teacher,New York,Bachelor Degree,7,9,3,10,1,False,True,True,1
USER_000138,34.2,2588.18,6.96,3.1,Female,Engineer,San Diego,Master or Higher,1,7,1,3,0,True,False,False,0
USER_000139,57.5,8779.52,9.57,0.76,Male,Manager,Other City,Associate Degree,8,10,5,8,0,False,True,False,1
USER_000140,,,14.0,1.49,,Manager,San Diego,Bachelor Degree,6,5,3,8,1,False,False,False,1
USER_000141,33.2,5300.21,5.38,4.68,Male,Doctor,Other City,Master or Higher,3,4,3,2,1,True,False,False,0
USER_000142,20.6,3579.13,1.77,4.32,Male,Student,New York,Bachelor Degree,4,4,4,5,1,False,False,True,0
USER_000143,44.5,7411.4,6.43,1.4,Female,Freelancer,New York,High School or Below,4,4,3,8,1,False,False,True,0
USER_000144,,,13.34,5.23,Male,Engineer,New York,Associate Degree,1,4,1,5,0,False,True,False,0
USER_000145,42.9,6801.99,1.82,5.71,Male,Corporate Employee,San Antonio,Bachelor Degree,4,4,4,5,0,False,True,True,0
USER_000146,28.7,3423.63,19.58,0.3,Male,Teacher,New York,High School or Below,5,3,1,5,0,False,False,False,0
USER_000147,27.9,4047.98,1.27,3.68,Female,Freelancer,Other City,Associate Degree,4,4,1,10,0,False,True,False,0
USER_000148,22.1,2197.28,0.72,1.95,Male,Salesperson,Other City,Associate Degree,5,7,3,3,1,False,False,True,0
USER_000149,35.8,5680.86,0.4,0.1,Male,Corporate Employee,Philadelphia,High School or Below,8,7,3,8,0,True,False,False,0
USER_000150,,,9.2,2.36,Unknown,Corporate Employee,Los Angeles,Bachelor Degree,3,3,4,10,1,False,False,False,1
USER_000151,23.2,3877.82,2.1,3.72,Female,Engineer,San Diego,Bachelor Degree,7,6,1,8,0,False,False,True,0
USER_000152,30.8,3966.63,6.61,1.16,Male,Other,Other City,Bachelor Degree,7,7,1,4,1,False,False,False,0
USER_000153,30.1,4796.43,0.37,5.21,Male,Corporate Employee,San Diego,Associate Degree,5,5,5,1,0,False,True,True,0
USER_000154,29.6,6557.43,11.54,5.37,Male,Corporate Employee,Other City,High School or Below,6,8,1,10,1,False,False,True,1
USER_000155,39.7,4175.35,3.66,7.24,Male,Engineer,Other City,High School or Below,1,2,1,10,1,False,False,False,0
USER_000156,35.8,3843.23,1.29,0.1,Male,Corporate Employee,Los Angeles,Associate Degree,7,8,2,5,0,False,True,False,0
USER_000157,32.1,6382.23,8.23,8.41,Female,Teacher,New York,Bachelor Degree,4,4,4,10,1,False,True,False,1
USER_000158,36.8,5539.57,1.28,5.15,Male,Engineer,Los Angeles,Associate Degree,5,4,2,10,0,False,False,False,0
USER_000159,25.1,7572.9,9.31,4.68,Male,Corporate Employee,Phoenix,Bachelor Degree,1,10,2,8,1,False,True,True,1
USER_000160,36.1,5112.99,5.82,5.9,Male,Engineer,New York,Associate Degree,1,1,1,4,1,True,True,True,0
USER_000161,36.5,5857.53,1.33,2.76,Female,Civil Servant,Los Angeles,Master or Higher,8,6,3,9,0,False,False,False,0
USER_000162,20.0,1587.15,2.08,6.15,Male,Engineer,Other City,Associate Degree,1,2,2,9,1,False,True,False,0
USER_000163,45.0,7712.96,0.24,1.35,Female,Freelancer,Chicago,Master or Higher,2,10,1,7,0,True,False,False,0
USER_000164,26.2,4425.69,4.89,3.33,Female,Corporate Employee,Los Angeles,Associate Degree,8,4,5,9,0,False,True,True,0
USER_000165,35.9,6740.4,11.21,4.79,Male,Engineer,Los Angeles,Bachelor Degree,8,10,3,10,1,False,False,True,1
USER_000166,46.6,5695.3,2.12,0.42,Male,Teacher,New York,Associate Degree,8,6,2,5,1,False,True,True,0
USER_000167,44.3,4522.8,6.07,1.23,Female,Teacher,Los Angeles,Associate Degree,1,3,1,10,1,False,True,False,0
USER_000168,35.3,3908.71,5.73,3.44,Male,Corporate Employee,Chicago,High School or Below,1,4,3,3,0,False,True,False,0
USER_000169,,,1.99,2.63,Male,Engineer,New York,High School or Below,7,2,1,8,0,False,False,True,0
USER_000170,44.5,4661.0,6.18,3.63,Female,Doctor,Other City,Bachelor Degree,5,12,1,5,0,False,False,True,0
USER_000171,41.7,4361.73,2.14,1.3,Female,Engineer,Other City,Bachelor Degree,1,4,1,10,0,False,False,True,0
USER_000172,28.8,3377.78,1.26,0.94,Male,Other,Other City,Associate Degree,1,7,2,7,0,False,True,False,0
USER_000173,27.1,2711.82,6.36,1.89,Female,Engineer,Chicago,Bachelor Degree,2,5,4,3,0,True,False,False,0
USER_000174,18.0,3015.31,6.51,3.49,Female,Engineer,Other City,Bachelor Degree,2,3,1,2,0,False,True,True,0
USER_000175,36.5,5938.91,10.04,2.58,Male,Corporate Employee,New York,High School or Below,7,6,1,3,0,False,False,True,0
USER_000176,34.2,4009.51,3.48,2.14,Male,Corporate Employee,Other City,Bachelor Degree,7,4,1,2,1,False,True,False,0
USER_000177,46.4,4466.68,1.32,4.35,Male,Manager,Los Angeles,High School or Below,8,5,3,8,0,False,True,False,0
USER_000178,38.6,7351.86,17.07,5.89,Male,Corporate Employee,Chicago,Bachelor Degree,2,5,2,6,1,False,False,True,1
USER_000179,48.3,5974.23,0.96,3.91,Male,Civil Servant,Chicago,Associate Degree,8,4,3,7,0,False,True,True,0
USER_000180,28.0,5002.72,13.95,2.85,Female,Corporate Employee,San Antonio,Bachelor Degree,1,1,5,8,0,True,True,True,0
USER_000181,46.4,5385.49,1.83,1.57,Female,Corporate Employee,Other City,Bachelor Degree,8,7,2,2,0,False,False,False,0
USER_000182,29.7,5909.84,8.09,2.49,Unknown,Corporate Employee,Los Angeles,Bachelor Degree,6,8,2,2,1,False,True,False,1
USER_000183,42.8,7330.47,9.03,4.35,Male,Salesperson,Houston,Bachelor Degree,8,8,5,10,1,False,False,False,1
USER_000184,20.4,3329.0,2.68,3.22,Male,Student,Phoenix,Associate Degree,5,7,1,7,1,False,False,False,0
USER_000185,37.4,4547.44,0.28,4.74,Male,Salesperson,Phoenix,Associate Degree,2,4,2,8,0,False,True,False,0
USER_000186,18.0,4445.36,10.63,4.43,,Student,Phoenix,Bachelor Degree,6,6,5,8,1,False,False,True,1
USER_000187,32.3,2579.62,1.13,0.63,Male,Engineer,San Antonio,Bachelor Degree,7,4,1,10,0,False,True,False,0
USER_000188,39.4,4574.61,0.1,0.29,Male,Corporate Employee,Los Angeles,High School or Below,7,6,2,6,0,True,True,False,0
USER_000189,29.8,4895.22,1.78,3.41,Male,Engineer,Los Angeles,High School or Below,8,3,5,10,0,False,True,False,0
USER_000190,24.5,4500.25,1.28,4.6,Male,Student,San Diego,Bachelor Degree,4,8,2,1,0,False,True,True,0
USER_000191,43.5,7078.89,10.72,2.35,Male,Corporate Employee,Los Angeles,High School or Below,7,9,5,10,1,True,True,False,1
USER_000192,34.0,7899.49,15.12,7.31,Male,Student,Los Angeles,Master or Higher,8,7,3,3,1,False,False,True,1
USER_000193,30.1,4181.3,3.56,0.7,Female,Freelancer,Other City,Bachelor Degree,3,5,1,7,0,False,True,False,0
USER_000194,35.4,3402.15,7.31,1.58,Male,Salesperson,Chicago,Master or Higher,8,2,1,6,0,False,False,True,0
USER_000195,61.4,5687.62,2.05,5.05,Female,Freelancer,Los Angeles,Associate Degree,7,6,4,2,0,False,False,False,0
USER_000196,46.5,9068.26,8.07,4.03,Female,Corporate Employee,Houston,Master or Higher,8,10,1,6,1,True,True,False,1
USER_000197,46.6,7487.0,20.77,4.71,Male,Civil Servant,New York,Associate Degree,3,5,5,5,1,False,True,True,1
USER_000198,39.4,5925.94,9.89,5.79,Unknown,Corporate Employee,Phoenix,Bachelor Degree,3,3,1,7,1,False,False,True,1
USER_000199,36.7,4610.72,11.74,7.39,Female,Freelancer,Chicago,Associate Degree,6,4,5,10,1,False,True,True,1
USER_000200,18.0,2604.28,3.17,2.82,Female,Student,San Diego,Bachelor Degree,3,3,1,2,0,False,False,False,0
USER_000201,28.2,4424.75,4.37,3.22,Female,Corporate Employee,Phoenix,High School or Below,8,6,1,5,0,True,False,False,0
USER_000202,30.2,3522.31,10.81,2.66,Female,Engineer,Philadelphia,Master or Higher,3,4,3,9,1,False,False,True,0
USER_000203,18.0,3946.75,18.1,2.21,Male,Freelancer,New York,Bachelor Degree,8,7,2,2,1,False,True,True,1
USER_000204,23.4,2990.62,19.82,5.57,Male,Student,Other City,Bachelor Degree,1,11,3,5,0,False,False,True,0
USER_000205,18.0,4243.19,3.76,0.1,Male,Teacher,San Diego,Bachelor Degree,2,2,2,6,1,False,False,False,0
USER_000206,34.6,3267.02,12.79,3.6,Male,Engineer,San Diego,Associate Degree,1,5,2,2,0,False,False,False,0
USER_000207,43.2,4878.3,3.29,5.29,Male,Teacher,New York,Associate Degree,5,4,2,7,0,False,True,True,0
USER_000208,46.1,7020.76,0.23,5.6,Male,Corporate Employee,Other City,Bachelor Degree,3,2,2,2,0,False,False,True,0
USER_000209,39.1,5604.18,0.79,1.34,Unknown,Doctor,New York,Associate Degree,1,11,2,2,1,False,False,True,0
USER_000210,25.4,3919.13,2.03,3.8,Male,Engineer,San Diego,Master or Higher,3,6,3,6,0,False,False,False,0
USER_000211,18.0,2351.55,6.46,1.26,Female,Student,San Diego,Associate Degree,6,11,1,8,0,False,False,False,0
USER_000212,18.0,3030.5,0.42,1.62,Male,Student,Chicago,Bachelor Degree,1,9,2,1,0,True,False,False,0
USER_000213,22.3,2892.17,2.24,5.29,Male,Student,Other City,Bachelor Degree,7,5,2,6,0,False,False,False,0
USER_000214,26.1,4950.61,28.19,5.16,Female,Salesperson,Philadelphia,Bachelor Degree,8,8,4,10,1,False,False,False,1
USER_000215,33.4,3459.94,7.7,3.52,Unknown,Teacher,Philadelphia,Bachelor Degree,1,7,1,6,0,True,True,True,0
USER_000216,24.9,4474.1,4.24,4.71,Female,Corporate Employee,Other City,Bachelor Degree,3,8,1,1,1,False,False,True,0
USER_000217,38.4,6979.59,8.32,7.14,Female,Salesperson,New York,Bachelor Degree,8,7,2,5,1,False,False,False,1
USER_000218,32.7,4784.51,0.1,2.64,Male,Corporate Employee,Los Angeles,Associate Degree,5,10,1,6,0,False,False,True,0
USER_000219,35.1,6861.67,8.56,1.67,Male,Corporate Employee,Houston,Associate Degree,8,11,4,5,1,False,True,True,1
USER_000220,46.4,6280.92,1.98,2.41,Female,Salesperson,Los Angeles,Associate Degree,7,5,3,2,1,False,True,False,0
