age,gender_cd,residence_pr_cd,occ_cd,crdt_lim_yx,pril_bal,lim_use_ratio,total_loan_cnt,total_loan_amt,apply_cnt,wdraw_cnt,wdraw_success_rate,if_bj_10_yn,if_bj_30_yn,reject_freq,push_cnt,sms_charge_cnt,is_coupon_issue,cust_recv_time,touch_time,target
59,1,45,103,30500,10355,0.3395081967213115,7,61740,3,1,0.3333333333333333,Y,N,1,2,8,Y,2025-07-16 21:58:44.277768,2025-07-19 16:58:44.277768,0
45,2,32,103,27418,15989,0.5831570501130644,5,47719,2,2,1.0,N,N,0,2,6,N,2024-10-13 21:58:44.277771,2024-10-14 23:58:44.277771,1
33,1,45,104,39314,28931,0.7358956097064658,0,0,3,3,1.0,N,N,0,0,0,Y,2024-08-24 21:58:44.277773,2024-08-27 09:58:44.277773,1
32,1,45,102,27449,9290,0.3384458450216766,0,0,4,1,0.25,N,Y,1,0,0,N,2024-08-09 21:58:44.277775,,0
64,1,45,103,22478,5599,0.2490879971527716,8,45565,0,0,0.0,N,N,0,4,4,N,2024-12-06 21:58:44.277778,2024-12-08 14:58:44.277778,0
61,1,31,102,40179,14342,0.3569526369496503,9,21183,1,0,0.0,Y,N,1,3,7,Y,2025-05-07 21:58:44.277780,2025-05-08 23:58:44.277780,0
20,2,32,104,30338,24941,0.8221042916474388,5,2132,2,2,1.0,N,N,0,3,8,N,2025-05-11 21:58:44.277782,2025-05-13 09:58:44.277782,0
54,1,45,104,31899,13945,0.43716103953101976,9,39259,4,4,1.0,N,N,0,2,5,N,2024-09-01 21:58:44.277785,2024-09-02 18:58:44.277785,1
24,1,32,101,9145,7382,0.8072170585019136,7,64668,2,1,0.5,N,N,0,2,9,Y,2025-04-15 21:58:44.277787,2025-04-16 03:58:44.277787,0
38,2,44,104,37101,27052,0.7291447669874127,6,39563,3,1,0.3333333333333333,Y,N,1,4,7,N,2025-06-29 21:58:44.277789,2025-07-01 01:58:44.277789,0
26,1,44,101,7775,790,0.10160771704180065,5,27691,2,0,0.0,N,N,0,3,5,N,2025-03-12 21:58:44.277792,2025-03-13 18:58:44.277792,0
56,1,45,101,36647,19953,0.5444647583703986,3,11531,4,3,0.75,N,N,0,0,5,N,2024-08-09 21:58:44.277794,2024-08-12 07:58:44.277794,0
35,2,32,101,24539,7707,0.31407147805534047,6,11931,1,0,0.0,N,N,0,1,3,Y,2025-04-27 21:58:44.277796,2025-04-29 04:58:44.277796,0
21,2,32,102,41738,17130,0.4104173654703148,8,74169,1,0,0.0,N,N,0,4,4,N,2024-11-06 21:58:44.277799,2024-11-06 23:58:44.277799,0
42,1,32,103,31616,31086,0.9832363360323887,9,51639,2,0,0.0,N,N,0,1,1,N,2024-12-09 21:58:44.277801,2024-12-12 01:58:44.277801,0
31,2,31,101,19119,4633,0.24232438935090747,9,59901,0,0,0.0,N,N,0,0,2,N,2024-08-09 21:58:44.277803,2024-08-10 16:58:44.277803,0
26,2,44,101,30159,17304,0.5737590768924699,6,35881,2,0,0.0,N,N,0,0,2,N,2025-04-12 21:58:44.277806,2025-04-13 12:58:44.277806,0
43,1,32,104,42099,42037,0.9985272809330388,0,0,3,0,0.0,Y,N,1,1,4,N,2025-05-27 21:58:44.277808,2025-05-28 11:58:44.277808,0
19,1,32,104,15295,13778,0.900817260542661,9,2044,1,1,1.0,N,N,0,4,4,Y,2025-01-24 21:58:44.277810,2025-01-27 03:58:44.277810,0
37,2,31,104,39710,7008,0.1764794762024679,8,47691,1,0,0.0,N,N,0,1,5,Y,2024-08-14 21:58:44.277813,2024-08-15 20:58:44.277813,0
45,2,31,104,29685,15523,0.5229240357082702,3,3431,1,0,0.0,N,N,0,4,4,N,2025-01-17 21:58:44.277815,,0
64,1,32,103,30479,27405,0.8991436726926736,2,14926,0,0,0.0,Y,N,1,4,5,N,2024-07-30 21:58:44.277817,2024-08-02 09:58:44.277817,0
24,2,11,101,38629,36386,0.9419348158119547,3,2582,0,0,0.0,N,N,0,2,7,Y,2025-03-25 21:58:44.277820,2025-03-28 10:58:44.277820,0
61,2,32,102,47043,25373,0.5393576089960249,3,15374,4,0,0.0,N,N,0,3,1,Y,2024-08-04 21:58:44.277822,2024-08-06 18:58:44.277822,0
25,1,32,103,22033,20827,0.9452639222983706,9,67844,2,2,1.0,N,N,0,3,3,N,2025-07-17 21:58:44.277824,,0
64,1,31,101,41902,33040,0.7885065152021383,1,5917,2,1,0.5,N,Y,1,0,5,N,2025-05-16 21:58:44.277827,2025-05-19 16:58:44.277827,0
52,1,31,103,49571,13007,0.26239131750418593,0,0,3,0,0.0,N,N,0,2,4,Y,2024-11-12 21:58:44.277829,2024-11-15 15:58:44.277829,0
31,2,32,101,20408,18157,0.8897001176009408,9,75329,1,0,0.0,Y,N,1,3,0,Y,2024-11-29 21:58:44.277832,2024-12-02 02:58:44.277832,0
34,1,32,102,22420,2547,0.11360392506690455,0,0,0,0,0.0,N,N,0,4,8,N,2024-12-04 21:58:44.277834,2024-12-06 05:58:44.277834,0
53,1,32,102,21351,3164,0.14818978033815747,7,2620,3,3,1.0,Y,N,1,4,2,N,2025-06-29 21:58:44.277836,2025-06-29 22:58:44.277836,0
57,2,31,103,9131,4780,0.523491402913153,1,8503,3,0,0.0,N,N,0,1,1,N,2025-06-17 21:58:44.277839,2025-06-19 08:58:44.277839,0
21,2,32,103,49825,14414,0.28929252383341697,9,38534,0,0,0.0,N,N,0,1,8,N,2024-08-19 21:58:44.277841,2024-08-21 18:58:44.277841,0
19,1,32,103,16349,12909,0.7895895773441801,4,38960,2,1,0.5,N,Y,1,4,6,N,2025-03-19 21:58:44.277843,,0
23,2,45,101,49254,14327,0.29087992853372313,3,7622,1,1,1.0,N,Y,1,4,4,N,2025-06-24 21:58:44.277846,2025-06-25 00:58:44.277846,0
59,1,11,101,43225,946,0.021885482938114518,7,56856,2,0,0.0,Y,N,1,1,5,N,2024-08-27 21:58:44.277848,,0
21,2,44,104,43847,14693,0.33509704198690904,1,1100,3,0,0.0,N,N,0,3,3,Y,2024-12-19 21:58:44.277850,2024-12-20 07:58:44.277850,0
46,1,11,103,17453,16890,0.967741935483871,9,56809,1,1,1.0,N,N,0,0,0,N,2025-02-07 21:58:44.277853,2025-02-08 11:58:44.277853,0
35,1,45,101,23814,15540,0.6525573192239859,8,23259,4,3,0.75,N,N,0,1,3,N,2024-11-05 21:58:44.277855,2024-11-07 13:58:44.277855,1
43,2,44,104,23263,6719,0.2888277522245626,6,21655,3,0,0.0,N,Y,1,3,8,N,2025-05-20 21:58:44.277857,2025-05-23 04:58:44.277857,0
61,1,32,101,17158,8435,0.4916074134514512,6,34005,2,1,0.5,N,N,0,3,0,N,2025-03-26 21:58:44.277860,2025-03-28 15:58:44.277860,0
51,1,45,102,20735,11350,0.5473836508319267,0,0,2,1,0.5,N,N,0,3,9,N,2025-02-08 21:58:44.277862,2025-02-10 20:58:44.277862,0
27,2,32,101,20830,3590,0.17234757561209793,1,8226,2,2,1.0,N,Y,1,2,2,N,2024-12-10 21:58:44.277864,,0
53,2,31,103,49673,32021,0.6446359189096692,3,25416,0,0,0.0,N,Y,1,2,4,Y,2024-07-26 21:58:44.277867,,0
31,2,45,103,28926,10064,0.3479222844499758,3,22602,3,3,1.0,N,Y,1,3,6,N,2025-01-30 21:58:44.277869,,0
48,2,31,101,39779,28369,0.7131652379396164,2,12110,1,0,0.0,N,Y,1,4,8,N,2025-07-06 21:58:44.277872,2025-07-07 20:58:44.277872,0
32,1,45,104,8373,1192,0.14236235518929893,6,7073,2,0,0.0,N,N,0,2,5,N,2024-11-18 21:58:44.277874,2024-11-19 18:58:44.277874,0
25,1,45,102,15335,12617,0.8227583958265406,7,11195,2,2,1.0,N,Y,1,1,2,N,2025-03-01 21:58:44.277877,2025-03-03 07:58:44.277877,0
31,1,31,101,28741,17848,0.6209943982464076,1,2537,0,0,0.0,N,N,0,2,6,N,2025-04-12 21:58:44.277879,2025-04-14 04:58:44.277879,0
40,1,44,101,15692,390,0.02485342849859801,3,18138,1,1,1.0,N,Y,1,4,3,N,2025-02-21 21:58:44.277881,2025-02-24 17:58:44.277881,0
57,2,11,101,39057,21999,0.5632537061218219,2,12560,3,1,0.3333333333333333,N,N,0,0,2,Y,2025-01-17 21:58:44.277883,2025-01-18 16:58:44.277883,0
38,1,32,101,6447,4476,0.6942764076314565,1,8396,4,0,0.0,N,N,0,2,6,Y,2025-05-22 21:58:44.277886,2025-05-23 10:58:44.277886,0
33,1,45,103,24583,11569,0.4706097709799455,5,25207,0,0,0.0,N,N,0,3,6,N,2025-06-06 21:58:44.277888,2025-06-09 20:58:44.277888,0
62,1,32,104,27765,13029,0.4692598595353863,3,22891,3,2,0.6666666666666666,N,N,0,3,3,N,2024-07-29 21:58:44.277890,2024-07-31 00:58:44.277890,1
35,2,31,102,28906,22490,0.7780391614197745,5,21619,4,3,0.75,N,N,0,3,6,N,2024-12-31 21:58:44.277893,,0
64,1,32,101,24567,13107,0.5335205763829527,1,1540,2,0,0.0,N,N,0,0,1,N,2025-06-17 21:58:44.277895,2025-06-19 21:58:44.277895,0
41,1,31,101,19139,2560,0.13375829458174407,3,22894,2,2,1.0,N,Y,1,4,0,Y,2025-01-19 21:58:44.277897,2025-01-22 17:58:44.277897,0
43,1,32,101,43230,5867,0.13571593800601434,5,25845,1,1,1.0,Y,N,1,1,1,N,2025-07-16 21:58:44.277899,2025-07-17 14:58:44.277899,0
42,2,11,102,24520,15284,0.6233278955954323,4,25310,4,1,0.25,N,N,0,4,3,Y,2024-10-03 21:58:44.277902,2024-10-04 07:58:44.277902,1
62,1,11,104,24702,1211,0.04902437049631609,2,6131,2,0,0.0,N,N,0,0,7,N,2025-03-02 21:58:44.277904,,0
58,2,11,101,30566,9121,0.29840345481908004,7,31562,2,2,1.0,N,Y,1,3,2,N,2025-04-04 21:58:44.277906,2025-04-05 03:58:44.277906,0
46,2,11,103,12657,1539,0.12159279450106661,6,29036,1,1,1.0,N,N,0,4,9,N,2024-12-12 21:58:44.277909,,1
32,1,11,104,42688,25488,0.5970764617691154,2,9697,3,3,1.0,N,N,0,1,5,Y,2024-12-08 21:58:44.277911,2024-12-11 17:58:44.277911,0
62,2,11,102,35134,17027,0.4846302726703478,5,18513,2,1,0.5,N,Y,1,3,5,Y,2024-08-21 21:58:44.277913,2024-08-24 05:58:44.277913,0
18,2,31,104,15345,12714,0.8285434995112414,3,11271,0,0,0.0,N,N,0,1,8,N,2025-04-04 21:58:44.277916,2025-04-07 00:58:44.277916,0
42,2,45,103,46185,8693,0.18822128396665583,4,4145,0,0,0.0,N,Y,1,2,8,N,2025-03-13 21:58:44.277918,,0
24,1,32,103,32413,8921,0.27522907475395675,4,28818,3,3,1.0,N,N,0,1,3,N,2024-10-26 21:58:44.277920,2024-10-27 23:58:44.277920,1
26,1,11,102,10208,1283,0.125685736677116,6,31544,4,3,0.75,N,N,0,3,8,Y,2024-12-30 21:58:44.277923,2025-01-02 15:58:44.277923,1
41,2,31,102,38455,10310,0.2681055779482512,4,14100,1,1,1.0,N,N,0,2,5,N,2024-11-08 21:58:44.277925,2024-11-09 10:58:44.277925,1
18,1,31,101,33018,30908,0.9360954630807439,2,5067,0,0,0.0,N,N,0,3,1,N,2025-07-03 21:58:44.277927,2025-07-04 10:58:44.277927,0
61,2,31,102,13080,4386,0.33532110091743117,9,60025,0,0,0.0,N,N,0,3,9,N,2024-12-04 21:58:44.277929,2024-12-05 21:58:44.277929,0
25,2,45,101,26902,17303,0.643186380194781,4,31728,3,3,1.0,Y,Y,2,2,5,N,2024-07-30 21:58:44.277932,2024-08-01 02:58:44.277932,0
41,2,32,103,14486,12242,0.8450918127847576,6,33317,4,2,0.5,N,N,0,1,1,Y,2025-04-04 21:58:44.277934,2025-04-05 02:58:44.277934,0
28,1,45,101,43862,8947,0.2039806666362683,4,32416,4,4,1.0,N,N,0,0,7,N,2024-11-27 21:58:44.277936,2024-11-30 04:58:44.277936,1
34,1,44,104,26158,13946,0.5331447358360731,4,3509,3,1,0.3333333333333333,N,N,0,0,3,N,2024-09-02 21:58:44.277939,2024-09-04 17:58:44.277939,1
25,2,31,103,45460,5930,0.1304443466783986,8,22400,0,0,0.0,N,N,0,0,4,N,2024-12-11 21:58:44.277941,,0
52,2,44,102,48856,38170,0.7812755853938104,2,16502,1,1,1.0,N,Y,1,0,7,N,2024-10-14 21:58:44.277943,2024-10-16 13:58:44.277943,0
52,1,11,101,40871,507,0.012404883658339654,5,7533,0,0,0.0,Y,N,1,4,7,N,2024-10-30 21:58:44.277946,,0
50,2,11,104,40208,1436,0.03571428571428571,0,0,4,2,0.5,N,N,0,0,5,Y,2024-08-11 21:58:44.277948,2024-08-14 03:58:44.277948,1
22,2,45,104,25519,11618,0.45526862337865903,9,50833,0,0,0.0,Y,N,1,2,3,N,2024-08-16 21:58:44.277951,2024-08-17 00:58:44.277951,0
59,1,32,103,36379,8750,0.2405233788724264,4,15670,1,0,0.0,N,N,0,0,0,N,2025-01-09 21:58:44.277953,2025-01-10 11:58:44.277953,0
56,1,44,101,33378,16122,0.48301276289771705,7,60473,2,2,1.0,N,N,0,3,6,N,2025-01-01 21:58:44.277956,2025-01-03 11:58:44.277956,1
58,1,32,102,44892,7354,0.16381537913213937,4,39328,0,0,0.0,N,N,0,0,7,Y,2024-07-30 21:58:44.277958,,0
45,1,45,101,19031,11294,0.5934527875571436,8,37784,3,2,0.6666666666666666,N,N,0,1,8,N,2024-10-14 21:58:44.277960,2024-10-17 19:58:44.277960,0
24,1,11,101,19536,13840,0.7084357084357085,5,24723,2,1,0.5,Y,Y,2,2,1,Y,2024-08-16 21:58:44.277962,,0
26,2,32,104,5446,3622,0.6650752846125597,7,61646,3,0,0.0,N,N,0,2,0,Y,2025-06-09 21:58:44.277965,2025-06-10 12:58:44.277965,0
25,1,32,103,41683,37167,0.8916584698798071,9,67255,3,3,1.0,N,N,0,4,3,N,2025-02-06 21:58:44.277967,2025-02-07 00:58:44.277967,0
29,1,11,103,22618,5037,0.222698735520382,7,1074,3,3,1.0,N,Y,1,3,4,N,2025-03-19 21:58:44.277969,2025-03-22 04:58:44.277969,0
51,1,44,104,11587,8111,0.7000086303616122,2,14161,0,0,0.0,N,Y,1,2,9,N,2024-10-29 21:58:44.277972,2024-10-31 11:58:44.277972,0
50,1,11,103,36480,15848,0.4344298245614035,6,58663,4,4,1.0,N,N,0,1,0,N,2024-12-14 21:58:44.277974,2024-12-17 20:58:44.277974,1
40,2,32,102,37994,36483,0.9602305627204295,6,35917,2,0,0.0,N,N,0,0,4,N,2024-09-09 21:58:44.277976,2024-09-10 16:58:44.277976,0
41,1,44,102,25527,14877,0.5827946879774356,9,27028,1,0,0.0,Y,N,1,2,5,N,2025-05-30 21:58:44.277979,2025-06-01 03:58:44.277979,0
54,1,44,104,28569,7837,0.27431831705694987,5,30545,4,2,0.5,N,Y,1,1,2,N,2025-04-17 21:58:44.277981,2025-04-18 11:58:44.277981,0
52,2,11,101,16151,1301,0.08055228778403814,6,15033,0,0,0.0,N,N,0,0,6,Y,2025-03-11 21:58:44.277983,2025-03-13 00:58:44.277983,0
61,1,32,104,10558,7370,0.6980488728925933,1,7713,3,1,0.3333333333333333,N,Y,1,4,5,N,2024-08-31 21:58:44.277986,,0
57,1,45,104,49739,6411,0.12889282052313075,8,65824,1,1,1.0,N,N,0,2,3,N,2025-06-20 21:58:44.277988,,1
39,1,32,101,37954,30499,0.8035780154924382,9,24525,2,1,0.5,Y,N,1,2,2,N,2024-07-27 21:58:44.277990,2024-07-28 03:58:44.277990,0
44,1,31,103,48837,30225,0.6188955095521838,9,58804,4,2,0.5,N,N,0,1,4,N,2025-02-20 21:58:44.277993,2025-02-23 01:58:44.277993,1
52,1,45,104,40303,692,0.017169937721757685,0,0,4,1,0.25,N,N,0,3,2,Y,2024-08-24 21:58:44.277995,,1
18,1,44,103,39700,28926,0.7286146095717884,0,0,1,0,0.0,N,N,0,4,9,N,2025-05-14 21:58:44.277998,2025-05-15 12:58:44.277998,0
52,1,45,104,32500,1478,0.045476923076923075,2,16043,0,0,0.0,N,N,0,3,8,Y,2024-12-12 21:58:44.278000,2024-12-14 01:58:44.278000,0
54,2,44,104,7032,6396,0.909556313993174,2,10078,2,1,0.5,N,N,0,2,8,N,2025-05-28 21:58:44.278002,2025-05-29 07:58:44.278002,0
64,1,44,102,6252,256,0.04094689699296225,0,0,1,0,0.0,N,N,0,3,5,Y,2024-09-16 21:58:44.278004,2024-09-17 07:58:44.278004,0
31,1,45,102,10509,441,0.04196403083071653,6,12725,3,3,1.0,N,N,0,0,5,N,2025-05-05 21:58:44.278007,,1
20,2,44,104,42842,10073,0.23511974230894916,3,4936,2,2,1.0,N,Y,1,4,3,N,2024-12-31 21:58:44.278009,2025-01-03 17:58:44.278009,0
18,1,44,103,18900,2646,0.14,9,51227,4,1,0.25,Y,Y,2,3,3,N,2025-01-07 21:58:44.278011,2025-01-09 15:58:44.278011,0
22,2,31,101,19523,5209,0.2668135020232546,1,4876,1,1,1.0,N,N,0,0,1,N,2025-01-10 21:58:44.278014,,1
43,1,32,101,6881,3820,0.5551518674611249,9,38383,4,4,1.0,Y,N,1,1,9,N,2025-07-06 21:58:44.278016,2025-07-07 03:58:44.278016,0
31,2,32,103,38037,6533,0.1717538186502616,4,30483,4,4,1.0,N,N,0,3,3,N,2024-11-21 21:58:44.278018,2024-11-23 15:58:44.278018,1
56,1,31,104,6630,4677,0.7054298642533937,5,8265,4,0,0.0,N,N,0,4,7,N,2024-07-23 21:58:44.278020,2024-07-24 06:58:44.278020,0
44,1,45,104,25789,7211,0.2796153398735895,8,23763,0,0,0.0,N,N,0,0,9,N,2025-04-28 21:58:44.278023,2025-04-30 07:58:44.278023,0
26,1,11,103,27523,9927,0.3606801584129637,3,11116,4,2,0.5,N,N,0,3,1,N,2024-10-21 21:58:44.278025,2024-10-22 14:58:44.278025,0
32,2,11,101,22958,11927,0.5195138949385835,1,5652,3,2,0.6666666666666666,N,N,0,1,8,Y,2024-10-01 21:58:44.278027,2024-10-03 23:58:44.278027,1
32,1,11,101,48852,24594,0.5034389584868583,4,10247,3,1,0.3333333333333333,N,N,0,3,0,N,2025-05-31 21:58:44.278029,2025-06-02 22:58:44.278029,0
43,1,31,104,6695,1124,0.16788648244958926,2,17925,2,0,0.0,N,N,0,0,1,Y,2024-09-04 21:58:44.278032,2024-09-06 19:58:44.278032,0
59,1,31,101,19821,12177,0.6143484183441804,1,3161,4,4,1.0,N,N,0,3,1,N,2024-12-21 21:58:44.278034,,1
30,2,44,101,8262,7933,0.9601791333817478,0,0,4,4,1.0,N,Y,1,4,5,N,2025-06-13 21:58:44.278037,2025-06-14 02:58:44.278037,0
49,1,11,101,6445,5476,0.8496508921644685,9,85171,1,0,0.0,N,N,0,2,6,N,2025-03-21 21:58:44.278039,2025-03-24 03:58:44.278039,0
56,2,45,103,21436,13853,0.6462493002425825,1,5569,0,0,0.0,N,Y,1,0,2,N,2025-05-14 21:58:44.278041,2025-05-15 13:58:44.278041,0
49,1,45,104,14949,7928,0.5303364773563449,5,20128,2,2,1.0,N,Y,1,0,8,N,2024-09-06 21:58:44.278043,2024-09-07 04:58:44.278043,0
21,1,11,101,28963,2080,0.07181576494147705,7,48356,4,1,0.25,N,N,0,0,4,Y,2024-11-18 21:58:44.278046,2024-11-20 11:58:44.278046,0
47,1,11,102,34932,6089,0.17431008817130425,2,13061,1,1,1.0,N,N,0,0,4,N,2025-06-12 21:58:44.278048,2025-06-13 12:58:44.278048,1
54,1,11,103,11901,7396,0.6214603814805478,8,7041,0,0,0.0,N,N,0,3,3,Y,2024-11-08 21:58:44.278051,,0
40,1,31,104,38487,26123,0.6787486683815315,8,79209,2,1,0.5,N,N,0,4,8,N,2024-11-17 21:58:44.278053,2024-11-20 05:58:44.278053,1
56,1,31,101,13597,7797,0.573435316613959,1,5675,2,2,1.0,N,N,0,1,7,Y,2025-06-06 21:58:44.278055,,0
62,2,31,102,11855,861,0.07262758329818642,7,45722,4,1,0.25,Y,N,1,4,3,N,2025-05-10 21:58:44.278057,,0
32,1,32,102,23678,8346,0.3524790945181181,9,18548,2,0,0.0,N,N,0,0,3,N,2025-04-02 21:58:44.278060,2025-04-05 00:58:44.278060,0
60,1,45,104,13263,3494,0.2634396441227475,4,16078,1,1,1.0,N,N,0,3,1,Y,2025-06-09 21:58:44.278062,2025-06-12 06:58:44.278062,1
46,1,45,102,30805,904,0.02934588540821295,3,6419,2,1,0.5,N,N,0,3,8,N,2025-05-10 21:58:44.278064,2025-05-11 00:58:44.278064,0
53,1,44,101,31143,17653,0.5668368493722505,9,36490,3,3,1.0,N,N,0,0,2,N,2025-01-19 21:58:44.278066,2025-01-21 16:58:44.278066,0
30,1,31,103,16874,16788,0.9949034016830627,4,11550,1,0,0.0,N,N,0,3,3,N,2025-07-06 21:58:44.278069,2025-07-07 09:58:44.278069,0
49,1,32,104,32529,25419,0.7814258046666052,3,17854,0,0,0.0,N,Y,1,0,6,N,2024-08-13 21:58:44.278071,2024-08-15 05:58:44.278071,0
24,1,32,101,25866,9974,0.38560272171963195,7,59760,0,0,0.0,N,N,0,4,9,Y,2024-12-26 21:58:44.278073,,0
39,2,45,104,19079,1184,0.06205775984066251,3,2468,4,1,0.25,N,N,0,2,7,Y,2025-06-12 21:58:44.278076,2025-06-13 23:58:44.278076,0
45,2,31,101,12243,8938,0.730049824389447,9,25309,4,1,0.25,N,N,0,3,7,N,2025-03-14 21:58:44.278078,2025-03-16 23:58:44.278078,0
19,1,44,103,34872,34493,0.9891316815783436,5,1808,3,1,0.3333333333333333,N,Y,1,0,3,N,2025-05-16 21:58:44.278080,2025-05-17 10:58:44.278080,0
59,1,31,102,14018,11380,0.8118133827935512,1,9363,0,0,0.0,N,N,0,0,6,N,2024-08-20 21:58:44.278082,2024-08-22 11:58:44.278082,0
62,2,11,103,17100,13057,0.7635672514619883,4,7719,0,0,0.0,N,N,0,3,9,Y,2025-04-27 21:58:44.278085,2025-04-28 02:58:44.278085,0
23,1,31,102,24800,22195,0.8949596774193549,5,17363,0,0,0.0,Y,N,1,1,0,Y,2024-09-14 21:58:44.278087,2024-09-15 11:58:44.278087,0
45,1,11,104,31910,5606,0.17568160451269194,4,29718,0,0,0.0,N,N,0,0,5,N,2024-09-22 21:58:44.278090,2024-09-23 10:58:44.278090,0
45,1,11,103,34437,3956,0.11487644103725644,1,6073,2,0,0.0,N,Y,1,3,5,Y,2025-06-14 21:58:44.278092,2025-06-17 14:58:44.278092,0
